PassengerId,Cabin,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,TotalExpenditure,CryoSleep,VIP,Cabin_class_A,Cabin_class_B,Cabin_class_C,Cabin_class_D,Cabin_class_E,Cabin_class_F,Cabin_class_G,Cabin_class_T,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
0001_01,B/0/P,39.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0002_01,F/0/S,24.0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,736.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0003_01,A/0/S,58.0,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,10383.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0003_02,A/0/S,33.0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,5176.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0004_01,F/1/S,16.0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,1091.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0005_01,F/0/P,44.0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,774.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0006_01,F/2/S,26.0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,1584.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0007_01,F/3/S,35.0,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,1018.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0008_01,B/1/P,14.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
0008_03,B/1/P,45.0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,8157.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
0009_01,F/1/P,32.0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True,1309.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0010_01,G/1/S,48.0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False,809.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0011_01,F/2/P,28.0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True,1003.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0015_01,F/4/P,24.0,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,False,638.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0016_01,F/5/P,45.0,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0017_01,G/0/P,0.0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0017_02,F/6/P,14.0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False,1092.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0020_01,E/0/S,1.0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0020_02,E/0/S,49.0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0020_04,E/0/S,10.0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0020_06,E/0/S,7.0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0025_01,F/6/S,15.0,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,False,1223.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0026_01,C/0/P,34.0,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,False,7861.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0028_01,F/8/P,43.0,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,False,1309.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0030_01,G/4/S,32.0,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,False,1821.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0031_01,F/9/P,47.0,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True,2854.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0031_02,F/9/P,2.0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0034_01,D/1/S,28.0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
0035_01,D/1/P,23.0,784.0,964.0,0.0,951.0,0.0,Luse Butte,False,2699.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
0038_01,F/10/S,20.0,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,False,3355.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0041_01,G/2/P,17.0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0043_01,B/3/P,45.0,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,False,3575.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0044_01,G/3/P,55.0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0044_02,G/3/P,4.0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0044_03,G/3/P,21.0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0045_01,F/10/P,21.0,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,False,1214.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0051_01,E/2/S,56.0,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,False,1618.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0052_01,G/6/S,27.0,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,False,4689.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0053_01,F/11/S,25.0,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,True,1939.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0056_01,A/1/S,2.0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0056_02,A/1/S,38.0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0056_03,A/1/S,27.0,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,True,4547.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0058_01,G/7/S,36.0,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,False,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
